codigo_subclasse,descricao,codigo_classe,codigo_grupo,codigo_divisao,secao,versao_cnae
0163-6/00,Atividades de pós-colheita,01.63-6,01.6,01,A,2.3
0170-9/00,Caça e serviços relacionados,01.70-9,01.7,01,A,2.3
0210-1/01,Cultivo de eucalipto,02.10-1,02.1,02,A,2.3
0210-1/02,Cultivo de acácia-negra,02.10-1,02.1,02,A,2.3
0210-1/03,Cultivo de pinus,02.10-1,02.1,02,A,2.3
0210-1/04,Cultivo de teca,02.10-1,02.1,02,A,2.3
0210-1/05,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",02.10-1,02.1,02,A,2.3
0210-1/06,Cultivo de mudas em viveiros florestais,02.10-1,02.1,02,A,2.3
0210-1/07,Extração de madeira em florestas plantadas,02.10-1,02.1,02,A,2.3
0210-1/08,Produção de carvão vegetal - florestas plantadas,02.10-1,02.1,02,A,2.3
0210-1/09,Produção de casca de acácia-negra - florestas plantadas,02.10-1,02.1,02,A,2.3
0210-1/99,Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas,02.10-1,02.1,02,A,2.3
0220-9/01,Extração de madeira em florestas nativas,02.20-9,02.2,02,A,2.3
0220-9/02,Produção de carvão vegetal - florestas nativas,02.20-9,02.2,02,A,2.3
0220-9/03,Coleta de castanha-do-pará em florestas nativas,02.20-9,02.2,02,A,2.3
0220-9/04,Coleta de látex em florestas nativas,02.20-9,02.2,02,A,2.3
0220-9/05,Coleta de palmito em florestas nativas,02.20-9,02.2,02,A,2.3
0220-9/06,Conservação de florestas nativas,02.20-9,02.2,02,A,2.3
0220-9/99,Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas,02.20-9,02.2,02,A,2.3
0230-6/00,Atividades de apoio à produção florestal,02.30-6,02.3,02,A,2.3
0311-6/01,Pesca de peixes em água salgada,03.11-6,03.1,03,A,2.3
0311-6/02,Pesca de crustáceos e moluscos em água salgada,03.11-6,03.1,03,A,2.3
0311-6/03,Coleta de outros produtos marinhos,03.11-6,03.1,03,A,2.3
0311-6/04,Atividades de apoio à pesca em água salgada,03.11-6,03.1,03,A,2.3
0312-4/01,Pesca de peixes em água doce,03.12-4,03.1,03,A,2.3
0312-4/02,Pesca de crustáceos e moluscos em água doce,03.12-4,03.1,03,A,2.3
0312-4/03,Coleta de outros produtos aquáticos de água doce,03.12-4,03.1,03,A,2.3
0312-4/04,Atividades de apoio à pesca em água doce,03.12-4,03.1,03,A,2.3
0321-3/01,Criação de peixes em água salgada e salobra,03.21-3,03.2,03,A,2.3
0321-3/02,Criação de camarões em água salgada e salobra,03.21-3,03.2,03,A,2.3
0321-3/03,Criação de ostras e mexilhões em água salgada e salobra,03.21-3,03.2,03,A,2.3
0321-3/04,Criação de peixes ornamentais em água salgada e salobra,03.21-3,03.2,03,A,2.3
0321-3/05,Atividades de apoio à aquicultura em água salgada e salobra,03.21-3,03.2,03,A,2.3
0321-3/99,Cultivos e semicultivos da aquicultura em água salgada e salobra não especificados anteriormente,03.21-3,03.2,03,A,2.3
0322-1/01,Criação de peixes em água doce,03.22-1,03.2,03,A,2.3
0322-1/02,Criação de camarões em água doce,03.22-1,03.2,03,A,2.3
0322-1/03,Criação de ostras e mexilhões em água doce,03.22-1,03.2,03,A,2.3
0322-1/04,Criação de peixes ornamentais em água doce,03.22-1,03.2,03,A,2.3
0322-1/05,Ranicultura,03.22-1,03.2,03,A,2.3
0322-1/06,Criação de jacaré,03.22-1,03.2,03,A,2.3
0322-1/07,Atividades de apoio à aquicultura em água doce,03.22-1,03.2,03,A,2.3
0322-1/99,Cultivos e semicultivos da aquicultura em água doce não especificados anteriormente,03.22-1,03.2,03,A,2.3
0500-3/01,Extração de carvão mineral,05.00-3,05.0,05,B,2.3
0500-3/02,Beneficiamento de carvão mineral,05.00-3,05.0,05,B,2.3
0600-0/01,Extração de petróleo e gás natural,06.00-0,06.0,06,B,2.3
0600-0/02,Extração e beneficiamento de xisto,06.00-0,06.0,06,B,2.3
0600-0/03,Extração e beneficiamento de areias betuminosas,06.00-0,06.0,06,B,2.3
0710-3/01,Extração de minério de ferro,07.10-3,07.1,07,B,2.3
0710-3/02,"Pelotização, sinterização e outros beneficiamentos de minério de ferro",07.10-3,07.1,07,B,2.3
0721-9/01,Extração de minério de alumínio,07.21-9,07.2,07,B,2.3
0721-9/02,Beneficiamento de minério de alumínio,07.21-9,07.2,07,B,2.3
0722-7/01,Extração de minério de estanho,07.22-7,07.2,07,B,2.3
0722-7/02,Beneficiamento de minério de estanho,07.22-7,07.2,07,B,2.3
0723-5/01,Extração de minério de manganês,07.23-5,07.2,07,B,2.3
0723-5/02,Beneficiamento de minério de manganês,07.23-5,07.2,07,B,2.3
0724-3/01,Extração de minério de metais preciosos,07.24-3,07.2,07,B,2.3
0724-3/02,Beneficiamento de minério de metais preciosos,07.24-3,07.2,07,B,2.3
0725-1/00,Extração de minerais radioativos,07.25-1,07.2,07,B,2.3
0729-4/01,Extração de minérios de nióbio e titânio,07.29-4,07.2,07,B,2.3
0729-4/02,Extração de minério de tungstênio,07.29-4,07.2,07,B,2.3
0729-4/03,Extração de minério de níquel,07.29-4,07.2,07,B,2.3
0729-4/04,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",07.29-4,07.2,07,B,2.3
